zincid,smiles,consensus_score,docking_score,boltz_prob,is_active
ZINC000862292476,COCCOC1CN(C[C@]2(C)CCCS2)C1,0.40757048,-5.74,0.32651573,0
ZINC000876597683,Cn1cc(NC(=O)/C=C/[C@H]2CCCNC2)cn1,0.55055076,-7.925,0.3825878,0
ZINC000882945178,COc1cc(NC(=O)[C@H]2CC23CC3)n(C)n1,0.37534425,-6.895,0.14260131,0
ZINC000901915206,Cc1ncc(CN[C@@](C)(CCF)C(=O)O)o1,0.3767155,-6.165,0.22121058,0
ZINC001156877426,COC(=O)C1(Nc2cc(C)ccn2)CCCC1,0.42241815,-7.346,0.18896319,0
ZINC001225980362,C=CC[C@@H](C)Oc1nc(O)cc(C(F)(F)F)n1,0.40984955,-7.279,0.17103143,0
ZINC001240928091,Cc1nc2cncc(-c3cccc(O)c3)c2o1,0.5469524,-8.361,0.3301319,0
ZINC001472097861,CCc1occc1C(=O)NC(C)(C)c1ncon1,0.5029763,-7.587,0.3234865,0
ZINC000003882635,CC(=O)OC[C@H]1C[C@H]2CC[C@@H]1C2,0.3550572,-6.393,0.15460393,0
ZINC000004168424,CCCCCC(=O)Nc1ccccc1C(=O)O,0.43825072,-7.354,0.21949437,0
ZINC000041234682,CC(=O)c1cccc(NC(=O)NCCN)c1,0.6042861,-7.217,0.5626383,0
ZINC000104127510,CC(C)OC(=O)CNC(=O)c1ccccc1O,0.4792563,-7.751,0.25944942,0
ZINC000187577916,C=C[C@H](C)OC(=O)c1ccc2nncn2c1,0.46979517,-7.271,0.29060996,0
ZINC000191672749,C[C@](O)(CNCc1cc[nH]n1)C1CCCCC1,0.65272,-6.776,0.7044291,0
ZINC000269907100,O=C(NCCc1ccon1)[C@@H]1CC=CCC1,0.44184852,-7.881,0.17183283,0
ZINC000300906523,CC(C)(C)CCC(=O)NC[C@@H](O)C(N)=O,0.34530225,-6.614,0.11230445,0
ZINC000334174387,COCCC(=O)N1CCO[C@@H](C)C1,0.30539116,-5.398,0.1596631,0
ZINC000334504235,Cc1n[nH]cc1CNC(=O)N[C@H]1CCC[C@H]1F,0.45014232,-7.851,0.19138098,0
